country, nMesurements,meanRTT,percentile25RTT,medianRTT,percentile75RTT,percentile90RTT,maxRTT
UZ,3,253.34766666666667,252.7835,253.989,254.23250000000002,254.3786,254.476
ES,198,178.55850505050503,165.8585,179.913,193.03975,203.2883,332.168
AL,39,177.56464102564104,167.305,182.91,186.567,196.2536,214.825
TR,50,225.03032,187.60025000000002,196.573,216.52825,228.83839999999998,878.947
NG,4,239.12225,234.07475,240.1525,245.2,246.9442,248.107
PT,89,148.9316629213483,111.436,166.491,177.467,188.6676,203.554
LV,45,181.81691111111112,171.972,179.755,188.1,195.99280000000002,262.925
UA,239,179.58567782426778,174.458,179.793,185.4365,196.6076,280.036
LS,2,325.6125,325.54625,325.6125,325.67875000000004,325.7185,325.745
SZ,2,317.6885,317.36825,317.6885,318.00875,318.2009,318.329
EG,6,226.94416666666666,211.66025000000002,228.011,238.27475,244.7665,250.216
GE,9,208.78544444444444,186.214,223.098,225.374,231.3074,231.625
IE,101,152.88662376237625,136.283,153.511,172.806,182.252,241.621
KW,7,272.858,270.59749999999997,273.832,276.63,287.7244,300.373
TH,17,216.45735294117648,211.566,216.648,225.105,227.5568,229.808
TW,9,195.33044444444442,138.899,209.718,211.204,241.4688,272.04
VE,8,165.18012499999998,70.026,83.8875,187.97925,402.9276,476.044
AR,37,189.0015945945946,143.562,201.698,225.284,238.21479999999997,292.291
NC,8,241.121375,234.14025,239.0625,239.95024999999998,249.656,270.467
AT,224,169.11642410714288,157.1945,167.07,178.78125,192.2251,347.903
FI,155,178.50431612903228,167.8715,175.21,186.14,194.7656,263.587
VI,1,89.701,89.701,89.701,89.701,89.701,89.701
AE,14,270.20585714285716,254.13475,268.8275,278.80575,297.68410000000006,319.095
AM,26,206.0730384615385,204.29274999999998,208.71949999999998,212.35575,215.9735,234.135
KY,1,145.58,145.58,145.58,145.58,145.58,145.58
ME,10,157.33210000000003,147.84,149.33350000000002,168.13325,170.4642,182.679
BE,237,158.35341350210973,146.914,152.481,171.104,181.78480000000002,437.538
